percentage_perturbation,Train_accuracy,Test_accuracy,Accuracy_of_target_class,Accuracy_on_data_without_target_class,Pixel_perturbation
0.1,0.9610000252723694,0.9319999814033508,0.8703703880310059,0.939461886882782,6
0.2,0.9919999837875366,0.9480000138282776,0.9259259104728699,0.9506726264953613,6
0.3,0.9990000128746033,0.9580000042915344,0.9074074029922485,0.9641255736351013,6
0.4,1.0,0.9580000042915344,0.8148148059844971,0.9753363132476807,6
